"rowname","TrueAbsenceCount","env_Latitude","env_Altitude","t","r","u","v","d","pv","vo","w","i10fg","X10u","X10v","X2t","crr","lsrr","skt","Perc_Broadleaf_Wood","Perc_Urban.Suburban","Perc_Coniferous_Wood","Perc_Arable","Perc_Grassland"
"TrueAbsenceCount",0,3.74e-14,0,2.52e-131,3.24e-79,1.8e-22,0.000975,0.02,0.00136,0.0439,0.746,2.02e-09,0.147,0.317,9.42e-12,0.00399,1.77e-10,5.72e-15,6.04e-193,9.26e-37,1.88e-173,1.12e-232,1.26e-31
"env_Latitude",3.74e-14,0,1.47e-05,3.68e-26,0.708,1.67e-22,0.039,0.656,0.267,8.54e-06,3.85e-06,1.43e-71,0.0284,2.52e-43,2.04e-112,1.26e-06,2.74e-22,6.97e-165,0,0,1.32e-18,0,3.55e-13
"env_Altitude",0,1.47e-05,0,0,0,2.17e-163,7.02e-28,0.00385,5.77e-23,0.282,0.0429,0.00536,0.0978,0.3,0.34,0.202,0.0259,0.116,2.41e-37,1.91e-07,5.5e-32,5.95e-24,0.00255
"t",2.52e-131,3.68e-26,0,0,5.35e-292,2.12e-80,0,0.000261,2.51e-38,3.63e-17,2.15e-38,0.537,2.22e-73,2.41e-259,0,0.0802,0.0305,0,1.58e-07,0.0845,3.65e-13,0.112,0.000909
"r",3.24e-79,0.708,0,5.35e-292,0,0.0231,1.71e-28,1.03e-08,6.61e-204,1.08e-15,5.14e-06,1.96e-17,1e-43,2.02e-10,1.67e-175,7.62e-55,1.3e-172,5.51e-139,2.99e-13,5.41e-08,4.35e-10,4.92e-13,0.0179
"u",1.8e-22,1.67e-22,2.17e-163,2.12e-80,0.0231,0,8.78e-16,6.6e-11,6.76e-07,0.000566,4.55e-05,4.69e-44,0,0,0,4.32e-30,5.39e-110,1.03e-305,0.624,0.0548,0.117,0.079,0.404
"v",0.000975,0.039,7.02e-28,0,1.71e-28,8.78e-16,0,0.123,2.99e-81,1.25e-28,8.22e-77,0.0513,1.1e-190,0,1.85e-219,0.00436,0.00213,3.33e-112,0.343,0.316,0.753,0.272,0.856
"d",0.02,0.656,0.00385,0.000261,1.03e-08,6.6e-11,0.123,0,3.17e-10,6.05e-12,0.00514,0.0745,2.79e-08,0.00206,0.000629,0.143,0.585,0.0237,8.65e-06,0.0494,0.00505,0.649,0.948
"pv",0.00136,0.267,5.77e-23,2.51e-38,6.61e-204,6.76e-07,2.99e-81,3.17e-10,0,0,0.000166,5.82e-21,1.06e-10,1.55e-28,2.39e-07,0.00513,0.00108,0.00304,0.661,0.352,0.111,0.299,0.965
"vo",0.0439,8.54e-06,0.282,3.63e-17,1.08e-15,0.000566,1.25e-28,6.05e-12,0,0,0.00696,9.11e-36,1.02e-09,1.13e-62,7.89e-12,5.11e-16,1.1e-11,4.74e-15,0.275,0.242,0.413,0.558,0.711
"w",0.746,3.85e-06,0.0429,2.15e-38,5.14e-06,4.55e-05,8.22e-77,0.00514,0.000166,0.00696,0,0.0719,0.00948,5.3e-15,2.34e-25,2.99e-09,1.61e-11,4.52e-18,0.00601,0.969,0.672,0.00219,0.352
"i10fg",2.02e-09,1.43e-71,0.00536,0.537,1.96e-17,4.69e-44,0.0513,0.0745,5.82e-21,9.11e-36,0.0719,0,3.47e-72,2.29e-73,3.79e-103,4.38e-80,1.63e-160,2.35e-181,6.09e-37,1.34e-39,9.14e-08,2.56e-47,0.0062
"X10u",0.147,0.0284,0.0978,2.22e-73,1e-43,0,1.1e-190,2.79e-08,1.06e-10,1.02e-09,0.00948,3.47e-72,0,3.58e-156,1.22e-306,3.54e-72,1.05e-117,1.13e-231,0.102,0.228,0.685,0.591,0.982
"X10v",0.317,2.52e-43,0.3,2.41e-259,2.02e-10,0,0,0.00206,1.55e-28,1.13e-62,5.3e-15,2.29e-73,3.58e-156,0,8.03e-185,0.000164,2.19e-07,8.18e-77,1.69e-07,4.39e-14,0.476,8.11e-16,0.438
"X2t",9.42e-12,2.04e-112,0.34,0,1.67e-175,0,1.85e-219,0.000629,2.39e-07,7.89e-12,2.34e-25,3.79e-103,1.22e-306,8.03e-185,0,2.12e-108,2.92e-48,0,4.76e-65,1.93e-47,9.15e-17,7.77e-78,2.18e-08
"crr",0.00399,1.26e-06,0.202,0.0802,7.62e-55,4.32e-30,0.00436,0.143,0.00513,5.11e-16,2.99e-09,4.38e-80,3.54e-72,0.000164,2.12e-108,0,0,2.38e-136,0.000137,0.00365,0.0805,0.000174,0.00376
"lsrr",1.77e-10,2.74e-22,0.0259,0.0305,1.3e-172,5.39e-110,0.00213,0.585,0.00108,1.1e-11,1.61e-11,1.63e-160,1.05e-117,2.19e-07,2.92e-48,0,0,1.11e-49,2.11e-23,8.89e-20,2.66e-08,7.53e-24,0.0694
"skt",5.72e-15,6.97e-165,0.116,0,5.51e-139,1.03e-305,3.33e-112,0.0237,0.00304,4.74e-15,4.52e-18,2.35e-181,1.13e-231,8.18e-77,0,2.38e-136,1.11e-49,0,1.74e-111,8.78e-78,3.42e-30,1.2e-121,6.52e-12
"Perc_Broadleaf_Wood",6.04e-193,0,2.41e-37,1.58e-07,2.99e-13,0.624,0.343,8.65e-06,0.661,0.275,0.00601,6.09e-37,0.102,1.69e-07,4.76e-65,0.000137,2.11e-23,1.74e-111,0,0,0,0,2.58e-19
"Perc_Urban.Suburban",9.26e-37,0,1.91e-07,0.0845,5.41e-08,0.0548,0.316,0.0494,0.352,0.242,0.969,1.34e-39,0.228,4.39e-14,1.93e-47,0.00365,8.89e-20,8.78e-78,0,0,1.06e-62,1.72e-183,0.000138
"Perc_Coniferous_Wood",1.88e-173,1.32e-18,5.5e-32,3.65e-13,4.35e-10,0.117,0.753,0.00505,0.111,0.413,0.672,9.14e-08,0.685,0.476,9.15e-17,0.0805,2.66e-08,3.42e-30,0,1.06e-62,0,1.48e-30,1.99e-31
"Perc_Arable",1.12e-232,0,5.95e-24,0.112,4.92e-13,0.079,0.272,0.649,0.299,0.558,0.00219,2.56e-47,0.591,8.11e-16,7.77e-78,0.000174,7.53e-24,1.2e-121,0,1.72e-183,1.48e-30,0,3.01e-36
