,Altitude,Temperature,Relative Humidity,Zonal Windspeed,Meridional Windspeed,Atmospheric Divergence,Potential Vorticity,Relative Vorticity,Vertical Velocity,10m Wind Gust,10m Zonal Windspeed,10m Meridional Windspeed,2 Temperature,Convective Rain Rate,Large Scale Rain Rate,Skin Temperature,Broadleaf Wood Proportion,Urban Suburban Proportion,Coniferous Wood Proportion,Arable Land Proportion,Grassland Proportion
Altitude,0.00,0.00,0.00,0.00,7.61e-40,2.47e-05,7.61e-41,0.06,0.09,0.00,0.00,0.81,0.09,0.45,2.09e-07,0.02,2.68e-78,5.45e-21,2.52e-68,7.5e-50,8.93e-06
Temperature,0.00,0.00,0.00,3.28e-158,0.00,0.00,1.78e-69,1.95e-32,9.06e-75,0.18,6.23e-127,0.00,0.00,0.83,0.04,0.00,3.41e-15,0.40,4.63e-29,0.13,0.00
Relative Humidity,0.00,0.00,0.00,0.01,1.25e-48,2.81e-17,0.00,4.78e-29,1.07e-09,1.21e-27,1.27e-73,4.41e-18,0.00,2.71e-102,2.45e-305,1.58e-285,2.36e-32,1.34e-12,2.34e-19,1.07e-22,0.07
Zonal Windspeed,0.00,3.28e-158,0.01,0.00,1.46e-46,1.52e-15,3.73e-19,1.17e-08,5.06e-25,2.97e-108,0.00,0.00,0.00,2.05e-60,1.69e-227,0.00,0.66,8.64e-08,7.1e-06,0.07,0.45
Meridional Windspeed,7.61e-40,0.00,1.25e-48,1.46e-46,0.00,0.05,2.7e-111,8.76e-33,1.55e-135,0.00,0.00,0.00,0.00,0.01,1.24e-05,4.36e-258,0.47,0.46,0.75,0.77,0.24
Atmospheric Divergence,2.47e-05,0.00,2.81e-17,1.52e-15,0.05,0.00,1.67e-18,9.96e-18,0.00,5.95e-06,2.62e-13,1.04e-05,0.00,0.71,0.07,0.02,0.03,0.91,0.08,0.04,0.11
Potential Vorticity,7.61e-41,1.78e-69,0.00,3.73e-19,2.7e-111,1.67e-18,0.00,0.00,0.00,1.73e-39,1.52e-26,1.09e-35,2.5e-11,0.00,4.18e-09,0.00,0.00,0.86,0.06,0.87,0.50
Relative Vorticity,0.06,1.95e-32,4.78e-29,1.17e-08,8.76e-33,9.96e-18,0.00,0.00,4.21e-07,2.61e-45,7.87e-19,3.35e-98,2.94e-22,2.68e-19,5.4e-12,2.83e-27,0.09,0.05,0.18,0.17,0.45
Vertical Velocity,0.09,9.06e-75,1.07e-09,5.06e-25,1.55e-135,0.00,0.00,4.21e-07,0.00,0.30,0.72,3.96e-24,2.94e-64,2.4e-26,4.36e-17,3.13e-49,0.00,0.06,0.12,4.77e-07,0.34
10m Wind Gust,0.00,0.18,1.21e-27,2.97e-108,0.00,5.95e-06,1.73e-39,2.61e-45,0.30,0.00,2.24e-157,3.56e-121,8.84e-185,1.19e-135,0.00,0.00,1.59e-81,4.18e-108,4.93e-12,4.71e-99,0.00
10m Zonal Windspeed,0.00,6.23e-127,1.27e-73,0.00,0.00,2.62e-13,1.52e-26,7.87e-19,0.72,2.24e-157,0.00,2.4e-294,0.00,6.37e-113,8.35e-207,0.00,0.00,0.11,0.01,0.99,0.22
10m Meridional Windspeed,0.81,0.00,4.41e-18,0.00,0.00,1.04e-05,1.09e-35,3.35e-98,3.96e-24,3.56e-121,2.4e-294,0.00,0.00,0.03,3.14e-27,1.58e-154,2.27e-26,2.26e-45,0.71,2.32e-40,0.02
2 Temperature,0.09,0.00,0.00,0.00,0.00,0.00,2.5e-11,2.94e-22,2.94e-64,8.84e-185,0.00,0.00,0.00,7.18e-205,1.5e-91,0.00,8.61e-124,1.71e-81,2.06e-28,1.01e-149,2.95e-16
Convective Rain Rate,0.45,0.83,2.71e-102,2.05e-60,0.01,0.71,0.00,2.68e-19,2.4e-26,1.19e-135,6.37e-113,0.03,7.18e-205,0.00,0.00,4.36e-262,1.69e-05,0.00,0.01,2.8e-06,0.01
Large Scale Rain Rate,2.09e-07,0.04,2.45e-305,1.69e-227,1.24e-05,0.07,4.18e-09,5.4e-12,4.36e-17,0.00,8.35e-207,3.14e-27,1.5e-91,0.00,0.00,1.72e-94,2.62e-36,1.89e-22,1.5e-12,8.75e-37,0.07
Skin Temperature,0.02,0.00,1.58e-285,0.00,4.36e-258,0.02,0.00,2.83e-27,3.13e-49,0.00,0.00,1.58e-154,0.00,4.36e-262,1.72e-94,0.00,4.24e-214,2.56e-143,2.06e-50,8.83999999999999e-247,5.59e-23
Broadleaf Wood Proportion,2.68e-78,3.41e-15,2.36e-32,0.66,0.47,0.03,0.00,0.09,0.00,1.59e-81,0.00,2.27e-26,8.61e-124,1.69e-05,2.62e-36,4.24e-214,0.00,0.00,0.00,0.00,3.89e-41
