"rowname","TrueAbsenceCount","env_Latitude","env_Altitude","t","r","u","v","d","pv","vo","w","i10fg","X10u","X10v","X2t","crr","lsrr","skt","Perc_Broadleaf_Wood","Perc_Urban.Suburban","Perc_Coniferous_Wood","Perc_Arable","Perc_Grassland"
"TrueAbsenceCount",1,-0.074,-0.27,0.18,0.13,-0.058,0.026,-0.013,0.017,0.047,0.012,-0.034,-0.038,-0.0042,-0.052,-0.039,-0.049,-0.065,0.21,0.064,0.22,0.22,0.064
"env_Latitude",-0.074,1,0.036,-0.087,0.014,0.1,-0.0029,-0.013,0.012,-0.021,0.031,-0.12,0.033,0.1,-0.17,-0.0076,-0.067,-0.2,0.43,0.49,0.061,0.59,0.046
"env_Altitude",-0.27,0.036,1,-0.65,-0.42,0.19,-0.091,-0.017,0.075,0.018,0.027,0.011,0.013,-0.012,0.00019,0.016,0.047,0.0076,-0.069,-0.036,-0.083,-0.055,-0.011
"t",0.18,-0.087,-0.65,1,0.29,0.17,0.34,-0.025,-0.095,-0.07,-0.098,0.032,0.15,0.26,0.53,-0.0032,0.012,0.44,0.017,-0.011,0.039,-0.0053,0.0076
"r",0.13,0.014,-0.42,0.29,1,0.028,0.088,0.06,-0.23,-0.048,-0.066,0.064,0.092,0.061,0.23,0.11,0.21,0.2,0.057,0.0044,0.042,0.088,-0.0046
"u",-0.058,0.1,0.19,0.17,0.028,1,0.037,-0.062,0.057,0.04,-0.055,0.12,0.69,0.4,0.37,0.1,0.2,0.3,0.03,0.031,-0.023,0.053,-0.0092
"v",0.026,-0.0029,-0.091,0.34,0.088,0.037,1,0.0019,-0.16,-0.081,-0.14,-0.016,-0.26,0.47,0.24,-0.025,-0.026,0.18,0.026,0.017,0.013,0.0021,0.02
"d",-0.013,-0.013,-0.017,-0.025,0.06,-0.062,0.0019,1,-0.062,-0.062,0.018,-0.011,-0.052,-0.023,-0.02,-0.0012,-0.043,-0.02,0.018,0.0027,0.0073,-0.023,0.0057
"pv",0.017,0.012,0.075,-0.095,-0.23,0.057,-0.16,-0.062,1,0.67,0.03,0.073,0.065,-0.081,-0.039,0.025,0.042,-0.021,-0.0085,-0.018,-0.0058,0.0039,0.0084
"vo",0.047,-0.021,0.018,-0.07,-0.048,0.04,-0.081,-0.062,0.67,1,-0.019,0.07,0.05,-0.1,0.05,0.05,0.058,0.054,0.024,-0.013,0.021,0.0042,0.012
"w",0.012,0.031,0.027,-0.098,-0.066,-0.055,-0.14,0.018,0.03,-0.019,1,-0.034,0.019,-0.064,-0.089,-0.049,-0.084,-0.075,0.024,0.0071,0.024,-0.0017,-0.0041
"i10fg",-0.034,-0.12,0.011,0.032,0.064,0.12,-0.016,-0.011,0.073,0.07,-0.034,1,0.14,-0.11,0.18,0.12,0.22,0.23,-0.094,-0.12,-0.013,-0.096,-0.036
"X10u",-0.038,0.033,0.013,0.15,0.092,0.69,-0.26,-0.052,0.065,0.05,0.019,0.14,1,0.21,0.3,0.14,0.19,0.25,-0.023,-0.016,-0.012,0.022,-0.017
"X10v",-0.0042,0.1,-0.012,0.26,0.061,0.4,0.47,-0.023,-0.081,-0.1,-0.064,-0.11,0.21,1,0.24,-0.027,0.059,0.17,0.048,0.066,-0.018,0.066,0.0063
"X2t",-0.052,-0.17,0.00019,0.53,0.23,0.37,0.24,-0.02,-0.039,0.05,-0.089,0.18,0.3,0.24,1,0.17,0.14,0.95,-0.13,-0.13,-0.066,-0.14,-0.04
"crr",-0.039,-0.0076,0.016,-0.0032,0.11,0.1,-0.025,-0.0012,0.025,0.05,-0.049,0.12,0.14,-0.027,0.17,1,0.3,0.18,-0.024,-0.02,-0.016,-0.017,0.0091
"lsrr",-0.049,-0.067,0.047,0.012,0.21,0.2,-0.026,-0.043,0.042,0.058,-0.084,0.22,0.19,0.059,0.14,0.3,1,0.14,-0.063,-0.044,-0.035,-0.073,-0.0069
"skt",-0.065,-0.2,0.0076,0.44,0.2,0.3,0.18,-0.02,-0.021,0.054,-0.075,0.23,0.25,0.17,0.95,0.18,0.14,1,-0.17,-0.16,-0.082,-0.19,-0.044
"Perc_Broadleaf_Wood",0.21,0.43,-0.069,0.017,0.057,0.03,0.026,0.018,-0.0085,0.024,0.024,-0.094,-0.023,0.048,-0.13,-0.024,-0.063,-0.17,1,0.44,0.49,0.36,0.084
"Perc_Urban.Suburban",0.064,0.49,-0.036,-0.011,0.0044,0.031,0.017,0.0027,-0.018,-0.013,0.0071,-0.12,-0.016,0.066,-0.13,-0.02,-0.044,-0.16,0.44,1,0.097,0.24,0.041
"Perc_Coniferous_Wood",0.22,0.061,-0.083,0.039,0.042,-0.023,0.013,0.0073,-0.0058,0.021,0.024,-0.013,-0.012,-0.018,-0.066,-0.016,-0.035,-0.082,0.49,0.097,1,0.11,0.11
"Perc_Arable",0.22,0.59,-0.055,-0.0053,0.088,0.053,0.0021,-0.023,0.0039,0.0042,-0.0017,-0.096,0.022,0.066,-0.14,-0.017,-0.073,-0.19,0.36,0.24,0.11,1,0.085
"Perc_Grassland",0.064,0.046,-0.011,0.0076,-0.0046,-0.0092,0.02,0.0057,0.0084,0.012,-0.0041,-0.036,-0.017,0.0063,-0.04,0.0091,-0.0069,-0.044,0.084,0.041,0.11,0.085,1
