"","savename","model","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN1_CTA","allData","RUN1","CTA","TSS",409,100,79.413,0.794,0.442,NA
"2","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN1_CTA","allData","RUN1","CTA","ROC",413.5,100,79.413,0.897,0.721,NA
"3","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN1_GLM","allData","RUN1","GLM","TSS",495,100,96.21,0.962,0.289,NA
"4","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN1_GLM","allData","RUN1","GLM","ROC",500,100,96.21,0.981,0.644,NA
"5","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN2_CTA","allData","RUN2","CTA","TSS",443,100,88.517,0.885,0.223,NA
"6","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN2_CTA","allData","RUN2","CTA","ROC",447.5,100,88.517,0.943,0.612,NA
"7","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN2_GLM","allData","RUN2","GLM","TSS",495,100,95.875,0.959,0,NA
"8","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN2_GLM","allData","RUN2","GLM","ROC",500,100,95.875,0.979,0.478,NA
"9","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN3_CTA","allData","RUN3","CTA","TSS",440,100,92.419,0.924,0.272,NA
"10","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN3_CTA","allData","RUN3","CTA","ROC",444.5,100,92.419,0.966,0.631,NA
"11","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN3_GLM","allData","RUN3","GLM","TSS",495,100,98.588,0.986,0.31,NA
"12","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN3_GLM","allData","RUN3","GLM","ROC",500,100,98.588,0.993,0.655,NA
"13","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN4_CTA","allData","RUN4","CTA","TSS",407,100,78.93,0.789,0.462,NA
"14","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN4_CTA","allData","RUN4","CTA","ROC",411.5,100,78.93,0.895,0.731,NA
"15","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN4_GLM","allData","RUN4","GLM","TSS",495,100,92.679,0.927,0.261,NA
"16","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN4_GLM","allData","RUN4","GLM","ROC",500,100,92.679,0.963,0.63,NA
"17","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN5_CTA","allData","RUN5","CTA","TSS",450,90.909,78.521,0.694,0.811,NA
"18","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN5_CTA","allData","RUN5","CTA","ROC",454,90.909,78.521,0.847,0.906,NA
"19","/data/transfer2_biomod/Neely/Bioscatter.2017.0.001","Bioscatter.2017.0.001.CTA-GLM.models.out","Bioscatter.2017.0.001_allData_RUN5_GLM","allData","RUN5","GLM","TSS",495,100,98.476,0.985,0.305,NA
